"","Aripiprazole","Asenapine","Clozapine","Fluphenazine","Haloperidol","Loxapine","Lurasidone","Molindone","Olanzapine","Paliperidone","Placebo","Quetiapine","Risperidone","Trifluoperazine","Ziprasidone"
"Aripiprazole",NA,"-0.154(-0.471,0.149)","0.347(-0.021,0.689)","-0.791(-1.238,-0.338)","-0.122(-0.435,0.181)","-0.378(-0.736,-0.011)","-0.046(-0.341,0.227)","0.137(-0.257,0.54)","0.189(-0.088,0.471)","-0.01(-0.234,0.203)","-0.434(-0.62,-0.256)","-0.095(-0.344,0.151)","0.16(-0.119,0.421)","-0.369(-0.792,0.032)","-0.26(-0.546,0.025)"
"Asenapine","0.154(-0.149,0.471)",NA,"0.501(0.106,0.904)","-0.636(-1.115,-0.125)","0.032(-0.308,0.39)","-0.223(-0.615,0.183)","0.109(-0.214,0.432)","0.291(-0.117,0.721)","0.344(0.025,0.669)","0.145(-0.17,0.484)","-0.28(-0.516,-0.02)","0.059(-0.236,0.366)","0.315(0.018,0.649)","-0.214(-0.645,0.227)","-0.106(-0.435,0.226)"
"Clozapine","-0.347(-0.689,0.021)","-0.501(-0.904,-0.106)",NA,"-1.138(-1.645,-0.601)","-0.469(-0.84,-0.074)","-0.725(-1.14,-0.284)","-0.393(-0.777,-0.028)","-0.21(-0.661,0.287)","-0.157(-0.522,0.22)","-0.357(-0.726,0.016)","-0.781(-1.08,-0.46)","-0.442(-0.819,-0.069)","-0.187(-0.559,0.171)","-0.716(-1.176,-0.206)","-0.607(-0.993,-0.232)"
"Fluphenazine","0.791(0.338,1.238)","0.636(0.125,1.115)","1.138(0.601,1.645)",NA,"0.668(0.22,1.117)","0.413(-0.102,0.902)","0.745(0.259,1.198)","0.928(0.373,1.475)","0.98(0.514,1.435)","0.781(0.312,1.221)","0.356(-0.082,0.755)","0.695(0.226,1.153)","0.951(0.486,1.4)","0.422(-0.153,0.964)","0.53(0.023,0.976)"
"Haloperidol","0.122(-0.181,0.435)","-0.032(-0.39,0.308)","0.469(0.074,0.84)","-0.668(-1.117,-0.22)",NA,"-0.255(-0.61,0.095)","0.077(-0.255,0.395)","0.259(-0.151,0.67)","0.312(0.017,0.62)","0.113(-0.224,0.438)","-0.312(-0.56,-0.069)","0.027(-0.295,0.331)","0.283(-0.025,0.578)","-0.246(-0.669,0.166)","-0.138(-0.471,0.192)"
"Loxapine","0.378(0.011,0.736)","0.223(-0.183,0.615)","0.725(0.284,1.14)","-0.413(-0.902,0.102)","0.255(-0.095,0.61)",NA,"0.332(-0.047,0.736)","0.515(0.035,0.993)","0.567(0.18,0.953)","0.368(-0.014,0.771)","-0.057(-0.357,0.271)","0.282(-0.089,0.645)","0.538(0.156,0.903)","0.009(-0.313,0.343)","0.117(-0.273,0.519)"
"Lurasidone","0.046(-0.227,0.341)","-0.109(-0.432,0.214)","0.393(0.028,0.777)","-0.745(-1.198,-0.259)","-0.077(-0.395,0.255)","-0.332(-0.736,0.047)",NA,"0.183(-0.232,0.594)","0.235(-0.062,0.542)","0.036(-0.27,0.353)","-0.388(-0.6,-0.163)","-0.05(-0.349,0.255)","0.206(-0.074,0.497)","-0.323(-0.761,0.095)","-0.215(-0.524,0.1)"
"Molindone","-0.137(-0.54,0.257)","-0.291(-0.721,0.117)","0.21(-0.287,0.661)","-0.928(-1.475,-0.373)","-0.259(-0.67,0.151)","-0.515(-0.993,-0.035)","-0.183(-0.594,0.232)",NA,"0.052(-0.318,0.413)","-0.147(-0.541,0.273)","-0.571(-0.941,-0.213)","-0.232(-0.644,0.165)","0.023(-0.353,0.378)","-0.506(-1.008,0.016)","-0.397(-0.831,0.044)"
"Olanzapine","-0.189(-0.471,0.088)","-0.344(-0.669,-0.025)","0.157(-0.22,0.522)","-0.98(-1.435,-0.514)","-0.312(-0.62,-0.017)","-0.567(-0.953,-0.18)","-0.235(-0.542,0.062)","-0.052(-0.413,0.318)",NA,"-0.199(-0.49,0.09)","-0.624(-0.833,-0.415)","-0.285(-0.576,-0.011)","-0.029(-0.286,0.22)","-0.558(-0.974,-0.126)","-0.45(-0.762,-0.14)"
"Paliperidone","0.01(-0.203,0.234)","-0.145(-0.484,0.17)","0.357(-0.016,0.726)","-0.781(-1.221,-0.312)","-0.113(-0.438,0.224)","-0.368(-0.771,0.014)","-0.036(-0.353,0.27)","0.147(-0.273,0.541)","0.199(-0.09,0.49)",NA,"-0.425(-0.643,-0.213)","-0.086(-0.375,0.181)","0.17(-0.134,0.453)","-0.359(-0.781,0.088)","-0.251(-0.557,0.062)"
