"","Aripiprazole","Asenapine","Clozapine","Fluphenazine","Haloperidol","Loxapine","Lurasidone","Molindone","Olanzapine","Paliperidone","Placebo","Quetiapine","Risperidone","Trifluoperazine","Ziprasidone"
"Aripiprazole",NA,"-0.071(-0.338,0.185)","0.465(0.127,0.813)","-0.523(-0.918,-0.133)","0.045(-0.226,0.3)","-0.026(-0.374,0.327)","-0.033(-0.289,0.219)","0.176(-0.201,0.545)","0.205(-0.045,0.458)","-0.012(-0.233,0.209)","-0.429(-0.592,-0.254)","-0.04(-0.272,0.193)","0.124(-0.146,0.376)","0.017(-0.498,0.538)","-0.143(-0.451,0.174)"
"Asenapine","0.071(-0.185,0.338)",NA,"0.536(0.185,0.906)","-0.452(-0.867,-0.032)","0.116(-0.163,0.395)","0.045(-0.325,0.421)","0.038(-0.248,0.318)","0.247(-0.145,0.642)","0.275(-0.009,0.548)","0.059(-0.219,0.344)","-0.358(-0.563,-0.138)","0.03(-0.234,0.327)","0.195(-0.092,0.496)","0.088(-0.436,0.662)","-0.072(-0.368,0.278)"
"Clozapine","-0.465(-0.813,-0.127)","-0.536(-0.906,-0.185)",NA,"-0.988(-1.459,-0.52)","-0.42(-0.745,-0.086)","-0.491(-0.906,-0.047)","-0.498(-0.862,-0.137)","-0.289(-0.737,0.132)","-0.26(-0.601,0.072)","-0.477(-0.844,-0.12)","-0.894(-1.202,-0.596)","-0.505(-0.877,-0.147)","-0.341(-0.704,0.025)","-0.448(-1.013,0.141)","-0.608(-1.007,-0.21)"
"Fluphenazine","0.523(0.133,0.918)","0.452(0.032,0.867)","0.988(0.52,1.459)",NA,"0.568(0.179,0.96)","0.497(0.026,0.972)","0.49(0.074,0.914)","0.699(0.213,1.193)","0.728(0.318,1.156)","0.511(0.083,0.922)","0.094(-0.275,0.465)","0.483(0.076,0.897)","0.647(0.224,1.054)","0.54(-0.063,1.135)","0.38(-0.063,0.844)"
"Haloperidol","-0.045(-0.3,0.226)","-0.116(-0.395,0.163)","0.42(0.086,0.745)","-0.568(-0.96,-0.179)",NA,"-0.071(-0.421,0.263)","-0.078(-0.379,0.208)","0.131(-0.261,0.506)","0.16(-0.092,0.421)","-0.057(-0.343,0.226)","-0.474(-0.675,-0.264)","-0.085(-0.373,0.199)","0.079(-0.214,0.355)","-0.028(-0.553,0.485)","-0.188(-0.509,0.166)"
"Loxapine","0.026(-0.327,0.374)","-0.045(-0.421,0.325)","0.491(0.047,0.906)","-0.497(-0.972,-0.026)","0.071(-0.263,0.421)",NA,"-0.007(-0.387,0.36)","0.202(-0.26,0.651)","0.231(-0.124,0.571)","0.014(-0.361,0.391)","-0.403(-0.71,-0.094)","-0.014(-0.389,0.338)","0.15(-0.219,0.516)","0.043(-0.373,0.433)","-0.117(-0.532,0.294)"
"Lurasidone","0.033(-0.219,0.289)","-0.038(-0.318,0.248)","0.498(0.137,0.862)","-0.49(-0.914,-0.074)","0.078(-0.208,0.379)","0.007(-0.36,0.387)",NA,"0.208(-0.171,0.591)","0.237(-0.021,0.494)","0.021(-0.262,0.321)","-0.396(-0.588,-0.202)","-0.008(-0.278,0.268)","0.157(-0.115,0.428)","0.05(-0.478,0.598)","-0.11(-0.411,0.242)"
"Molindone","-0.176(-0.545,0.201)","-0.247(-0.642,0.145)","0.289(-0.132,0.737)","-0.699(-1.193,-0.213)","-0.131(-0.506,0.261)","-0.202(-0.651,0.26)","-0.208(-0.591,0.171)",NA,"0.029(-0.3,0.374)","-0.188(-0.565,0.202)","-0.605(-0.935,-0.262)","-0.216(-0.586,0.186)","-0.052(-0.41,0.286)","-0.159(-0.765,0.444)","-0.319(-0.736,0.127)"
"Olanzapine","-0.205(-0.458,0.045)","-0.275(-0.548,0.009)","0.26(-0.072,0.601)","-0.728(-1.156,-0.318)","-0.16(-0.421,0.092)","-0.231(-0.571,0.124)","-0.237(-0.494,0.021)","-0.029(-0.374,0.3)",NA,"-0.216(-0.471,0.056)","-0.634(-0.817,-0.454)","-0.245(-0.504,0.016)","-0.081(-0.327,0.168)","-0.188(-0.721,0.347)","-0.348(-0.649,-0.02)"
"Paliperidone","0.012(-0.209,0.233)","-0.059(-0.344,0.219)","0.477(0.12,0.844)","-0.511(-0.922,-0.083)","0.057(-0.226,0.343)","-0.014(-0.391,0.361)","-0.021(-0.321,0.262)","0.188(-0.202,0.565)","0.216(-0.056,0.471)",NA,"-0.417(-0.618,-0.218)","-0.028(-0.302,0.233)","0.136(-0.165,0.41)","0.029(-0.513,0.561)","-0.131(-0.45,0.193)"
"Placebo","0.429(0.254,0.592)","0.358(0.138,0.563)","0.894(0.596,1.202)","-0.094(-0.465,0.275)","0.474(0.264,0.675)","0.403(0.094,0.71)","0.396(0.202,0.588)","0.605(0.262,0.935)","0.634(0.454,0.817)","0.417(0.218,0.618)",NA,"0.389(0.2,0.576)","0.553(0.336,0.752)","0.446(-0.054,0.957)","0.286(0.042,0.558)"
