"","Aripiprazole","Asenapine","Clozapine","Fluphenazine","Haloperidol","Loxapine","Lurasidone","Molindone","Olanzapine","Paliperidone","Placebo","Quetiapine","Risperidone","Trifluoperazine","Ziprasidone"
"Aripiprazole",NA,"-0.045(-0.572,0.452)","0.607(-0.172,1.385)","-1.514(-2.555,-0.505)","-0.18(-0.882,0.484)","-0.275(-1.212,0.598)","0.04(-0.435,0.502)","0.35(-0.225,0.947)","0.302(-0.148,0.771)","-0.043(-0.357,0.273)","-0.437(-0.728,-0.145)","-0.05(-0.392,0.293)","0.239(-0.195,0.659)","-0.228(-1.257,0.755)","-0.29(-0.798,0.227)"
"Asenapine","0.045(-0.452,0.572)",NA,"0.652(-0.162,1.528)","-1.469(-2.564,-0.404)","-0.135(-0.896,0.625)","-0.23(-1.174,0.782)","0.085(-0.487,0.625)","0.395(-0.255,1.115)","0.347(-0.206,0.91)","0.002(-0.579,0.546)","-0.392(-0.808,0.038)","-0.005(-0.519,0.505)","0.284(-0.233,0.843)","-0.182(-1.249,0.901)","-0.245(-0.812,0.34)"
"Clozapine","-0.607(-1.385,0.172)","-0.652(-1.528,0.162)",NA,"-2.12(-3.148,-1.148)","-0.786(-1.444,-0.124)","-0.882(-1.829,0.054)","-0.567(-1.407,0.23)","-0.257(-1.013,0.495)","-0.305(-0.945,0.336)","-0.65(-1.442,0.176)","-1.044(-1.782,-0.31)","-0.657(-1.451,0.132)","-0.368(-1.101,0.363)","-0.834(-1.855,0.167)","-0.896(-1.724,-0.086)"
"Fluphenazine","1.514(0.505,2.555)","1.469(0.404,2.564)","2.12(1.148,3.148)",NA,"1.334(0.598,2.085)","1.239(0.288,2.214)","1.553(0.53,2.579)","1.864(0.822,2.912)","1.816(0.884,2.778)","1.471(0.436,2.535)","1.076(0.085,2.084)","1.464(0.445,2.506)","1.753(0.763,2.733)","1.286(0.266,2.403)","1.224(0.177,2.259)"
"Haloperidol","0.18(-0.484,0.882)","0.135(-0.625,0.896)","0.786(0.124,1.444)","-1.334(-2.085,-0.598)",NA,"-0.095(-0.67,0.537)","0.219(-0.539,0.941)","0.53(-0.154,1.235)","0.482(-0.077,1.032)","0.137(-0.607,0.868)","-0.258(-0.888,0.388)","0.13(-0.549,0.837)","0.419(-0.198,1.043)","-0.048(-0.781,0.723)","-0.11(-0.835,0.643)"
"Loxapine","0.275(-0.598,1.212)","0.23(-0.782,1.174)","0.882(-0.054,1.829)","-1.239(-2.214,-0.288)","0.095(-0.537,0.67)",NA,"0.315(-0.65,1.252)","0.625(-0.281,1.526)","0.577(-0.241,1.398)","0.232(-0.708,1.187)","-0.162(-1.029,0.684)","0.225(-0.702,1.128)","0.514(-0.361,1.373)","0.048(-0.381,0.48)","-0.015(-0.971,0.965)"
"Lurasidone","-0.04(-0.502,0.435)","-0.085(-0.625,0.487)","0.567(-0.23,1.407)","-1.553(-2.579,-0.53)","-0.219(-0.941,0.539)","-0.315(-1.252,0.65)",NA,"0.31(-0.336,0.963)","0.262(-0.279,0.811)","-0.083(-0.625,0.429)","-0.477(-0.864,-0.071)","-0.09(-0.569,0.393)","0.199(-0.322,0.702)","-0.267(-1.326,0.752)","-0.329(-0.878,0.24)"
"Molindone","-0.35(-0.947,0.225)","-0.395(-1.115,0.255)","0.257(-0.495,1.013)","-1.864(-2.912,-0.822)","-0.53(-1.235,0.154)","-0.625(-1.526,0.281)","-0.31(-0.963,0.336)",NA,"-0.048(-0.492,0.405)","-0.393(-1.041,0.248)","-0.788(-1.315,-0.279)","-0.4(-1.006,0.167)","-0.111(-0.59,0.339)","-0.578(-1.612,0.419)","-0.64(-1.31,0.024)"
"Olanzapine","-0.302(-0.771,0.148)","-0.347(-0.91,0.206)","0.305(-0.336,0.945)","-1.816(-2.778,-0.884)","-0.482(-1.032,0.077)","-0.577(-1.398,0.241)","-0.262(-0.811,0.279)","0.048(-0.405,0.492)",NA,"-0.345(-0.843,0.176)","-0.74(-1.113,-0.364)","-0.352(-0.828,0.118)","-0.063(-0.421,0.272)","-0.53(-1.457,0.397)","-0.592(-1.155,-0.074)"
"Paliperidone","0.043(-0.273,0.357)","-0.002(-0.546,0.579)","0.65(-0.176,1.442)","-1.471(-2.535,-0.436)","-0.137(-0.868,0.607)","-0.232(-1.187,0.708)","0.083(-0.429,0.625)","0.393(-0.248,1.041)","0.345(-0.176,0.843)",NA,"-0.394(-0.747,-0.027)","-0.007(-0.444,0.433)","0.282(-0.214,0.771)","-0.184(-1.251,0.839)","-0.246(-0.808,0.312)"
