"","Aripiprazole","Asenapine","Clozapine","Fluphenazine","Haloperidol","Loxapine","Lurasidone","Molindone","Olanzapine","Paliperidone","Placebo","Quetiapine","Risperidone","Trifluoperazine","Ziprasidone"
"Aripiprazole",NA,"-0.065(-0.311,0.18)","0.45(0.167,0.752)","-0.563(-0.959,-0.172)","0.045(-0.184,0.282)","-0.021(-0.362,0.309)","-0.044(-0.269,0.185)","0.159(-0.213,0.526)","0.191(-0.039,0.423)","-0.009(-0.203,0.194)","-0.43(-0.578,-0.272)","-0.028(-0.242,0.191)","0.101(-0.145,0.36)","0.017(-0.468,0.557)","-0.146(-0.435,0.205)"
"Asenapine","0.065(-0.18,0.311)",NA,"0.515(0.2,0.828)","-0.498(-0.898,-0.11)","0.11(-0.137,0.363)","0.044(-0.325,0.386)","0.021(-0.229,0.265)","0.224(-0.152,0.596)","0.256(0.002,0.511)","0.056(-0.215,0.306)","-0.365(-0.555,-0.174)","0.037(-0.227,0.29)","0.166(-0.11,0.437)","0.082(-0.442,0.609)","-0.082(-0.395,0.266)"
"Clozapine","-0.45(-0.752,-0.167)","-0.515(-0.828,-0.2)",NA,"-1.013(-1.46,-0.578)","-0.405(-0.701,-0.127)","-0.471(-0.847,-0.086)","-0.494(-0.808,-0.197)","-0.291(-0.705,0.115)","-0.259(-0.547,0.036)","-0.459(-0.784,-0.15)","-0.88(-1.132,-0.626)","-0.478(-0.795,-0.171)","-0.349(-0.667,-0.041)","-0.433(-0.976,0.132)","-0.597(-0.942,-0.218)"
"Fluphenazine","0.563(0.172,0.959)","0.498(0.11,0.898)","1.013(0.578,1.46)",NA,"0.608(0.236,1.005)","0.542(0.084,1.019)","0.519(0.127,0.929)","0.722(0.234,1.184)","0.754(0.362,1.146)","0.555(0.15,0.943)","0.133(-0.208,0.499)","0.535(0.123,0.936)","0.664(0.252,1.064)","0.581(-0.016,1.192)","0.417(-0.002,0.867)"
"Haloperidol","-0.045(-0.282,0.184)","-0.11(-0.363,0.137)","0.405(0.127,0.701)","-0.608(-1.005,-0.236)",NA,"-0.066(-0.388,0.246)","-0.089(-0.336,0.152)","0.114(-0.273,0.483)","0.146(-0.082,0.378)","-0.053(-0.295,0.198)","-0.475(-0.64,-0.299)","-0.073(-0.327,0.173)","0.056(-0.21,0.319)","-0.028(-0.532,0.49)","-0.191(-0.504,0.144)"
"Loxapine","0.021(-0.309,0.362)","-0.044(-0.386,0.325)","0.471(0.086,0.847)","-0.542(-1.019,-0.084)","0.066(-0.246,0.388)",NA,"-0.023(-0.362,0.294)","0.18(-0.273,0.629)","0.212(-0.114,0.549)","0.012(-0.336,0.358)","-0.409(-0.697,-0.106)","-0.007(-0.349,0.354)","0.122(-0.229,0.477)","0.038(-0.337,0.444)","-0.126(-0.508,0.298)"
"Lurasidone","0.044(-0.185,0.269)","-0.021(-0.265,0.229)","0.494(0.197,0.808)","-0.519(-0.929,-0.127)","0.089(-0.152,0.336)","0.023(-0.294,0.362)",NA,"0.203(-0.167,0.566)","0.235(0.003,0.475)","0.035(-0.224,0.294)","-0.386(-0.554,-0.202)","0.016(-0.246,0.26)","0.145(-0.121,0.409)","0.061(-0.453,0.594)","-0.103(-0.395,0.246)"
"Molindone","-0.159(-0.526,0.213)","-0.224(-0.596,0.152)","0.291(-0.115,0.705)","-0.722(-1.184,-0.234)","-0.114(-0.483,0.273)","-0.18(-0.629,0.273)","-0.203(-0.566,0.167)",NA,"0.032(-0.287,0.36)","-0.168(-0.545,0.223)","-0.589(-0.915,-0.257)","-0.187(-0.555,0.188)","-0.058(-0.407,0.276)","-0.142(-0.758,0.473)","-0.306(-0.717,0.142)"
"Olanzapine","-0.191(-0.423,0.039)","-0.256(-0.511,-0.002)","0.259(-0.036,0.547)","-0.754(-1.146,-0.362)","-0.146(-0.378,0.082)","-0.212(-0.549,0.114)","-0.235(-0.475,-0.003)","-0.032(-0.36,0.287)",NA,"-0.2(-0.436,0.051)","-0.621(-0.788,-0.459)","-0.219(-0.47,0.028)","-0.09(-0.327,0.133)","-0.174(-0.668,0.35)","-0.338(-0.63,0.011)"
"Paliperidone","0.009(-0.194,0.203)","-0.056(-0.306,0.215)","0.459(0.15,0.784)","-0.555(-0.943,-0.15)","0.053(-0.198,0.295)","-0.012(-0.358,0.336)","-0.035(-0.294,0.224)","0.168(-0.223,0.545)","0.2(-0.051,0.436)",NA,"-0.421(-0.602,-0.24)","-0.02(-0.275,0.232)","0.109(-0.165,0.377)","0.026(-0.479,0.549)","-0.138(-0.436,0.195)"
